Year,Response,Value,Question_ID,Question_Text
1968.0,No opinion,,LL4,Do you have a gun in your home? (version 2)
1968.0,"No, do not",50.0,LL4,Do you have a gun in your home? (version 2)
1968.0,"Yes, do",50.0,LL4,Do you have a gun in your home? (version 2)
2001.0,No opinion,5.0,LL5,How satisfied are you with the nation's gun policies?
2001.0,Somewhat dissatisfied,28.0,LL5,How satisfied are you with the nation's gun policies?
2001.0,Somewhat satisfied,28.0,LL5,How satisfied are you with the nation's gun policies?
2001.0,Very dissatisfied,29.0,LL5,How satisfied are you with the nation's gun policies?
2001.0,Very satisfied,10.0,LL5,How satisfied are you with the nation's gun policies?
2002.0,No opinion,5.0,LL5,How satisfied are you with the nation's gun policies?
2002.0,Somewhat dissatisfied,24.0,LL5,How satisfied are you with the nation's gun policies?
2002.0,Somewhat satisfied,35.0,LL5,How satisfied are you with the nation's gun policies?
2002.0,Very dissatisfied,23.0,LL5,How satisfied are you with the nation's gun policies?
2002.0,Very satisfied,13.0,LL5,How satisfied are you with the nation's gun policies?
2003.0,No opinion,6.0,LL5,How satisfied are you with the nation's gun policies?
2003.0,Somewhat dissatisfied,26.0,LL5,How satisfied are you with the nation's gun policies?
2003.0,Somewhat satisfied,34.0,LL5,How satisfied are you with the nation's gun policies?
2003.0,Very dissatisfied,21.0,LL5,How satisfied are you with the nation's gun policies?
2003.0,Very satisfied,13.0,LL5,How satisfied are you with the nation's gun policies?
2004.0,No opinion,4.0,LL5,How satisfied are you with the nation's gun policies?
2004.0,Somewhat dissatisfied,22.0,LL5,How satisfied are you with the nation's gun policies?
2004.0,Somewhat satisfied,37.0,LL5,How satisfied are you with the nation's gun policies?
2004.0,Very dissatisfied,23.0,LL5,How satisfied are you with the nation's gun policies?
2004.0,Very satisfied,14.0,LL5,How satisfied are you with the nation's gun policies?
2005.0,No opinion,6.0,LL5,How satisfied are you with the nation's gun policies?
2005.0,Somewhat dissatisfied,21.0,LL5,How satisfied are you with the nation's gun policies?
2005.0,Somewhat satisfied,36.0,LL5,How satisfied are you with the nation's gun policies?
2005.0,Very dissatisfied,22.0,LL5,How satisfied are you with the nation's gun policies?
2005.0,Very satisfied,15.0,LL5,How satisfied are you with the nation's gun policies?
2006.0,No opinion,9.0,LL5,How satisfied are you with the nation's gun policies?
2006.0,Somewhat dissatisfied,21.0,LL5,How satisfied are you with the nation's gun policies?
2006.0,Somewhat satisfied,32.0,LL5,How satisfied are you with the nation's gun policies?
2006.0,Very dissatisfied,22.0,LL5,How satisfied are you with the nation's gun policies?
2006.0,Very satisfied,16.0,LL5,How satisfied are you with the nation's gun policies?
2007.0,No opinion,7.0,LL5,How satisfied are you with the nation's gun policies?
2007.0,Somewhat dissatisfied,21.0,LL5,How satisfied are you with the nation's gun policies?
2007.0,Somewhat satisfied,33.0,LL5,How satisfied are you with the nation's gun policies?
2007.0,Very dissatisfied,22.0,LL5,How satisfied are you with the nation's gun policies?
2007.0,Very satisfied,17.0,LL5,How satisfied are you with the nation's gun policies?
2008.0,No opinion,7.0,LL5,How satisfied are you with the nation's gun policies?
2008.0,Somewhat dissatisfied,23.0,LL5,How satisfied are you with the nation's gun policies?
2008.0,Somewhat satisfied,34.0,LL5,How satisfied are you with the nation's gun policies?
2008.0,Very dissatisfied,21.0,LL5,How satisfied are you with the nation's gun policies?
2008.0,Very satisfied,14.0,LL5,How satisfied are you with the nation's gun policies?
2012.0,No opinion,8.0,LL5,How satisfied are you with the nation's gun policies?
2012.0,Somewhat dissatisfied,19.0,LL5,How satisfied are you with the nation's gun policies?
2012.0,Somewhat satisfied,36.0,LL5,How satisfied are you with the nation's gun policies?
2012.0,Very dissatisfied,23.0,LL5,How satisfied are you with the nation's gun policies?
2012.0,Very satisfied,14.0,LL5,How satisfied are you with the nation's gun policies?
2013.0,No opinion,5.0,LL5,How satisfied are you with the nation's gun policies?
2013.0,Somewhat dissatisfied,21.0,LL5,How satisfied are you with the nation's gun policies?
2013.0,Somewhat satisfied,31.0,LL5,How satisfied are you with the nation's gun policies?
2013.0,Very dissatisfied,30.0,LL5,How satisfied are you with the nation's gun policies?
2013.0,Very satisfied,12.0,LL5,How satisfied are you with the nation's gun policies?
2014.0,No opinion,5.0,LL5,How satisfied are you with the nation's gun policies?
2014.0,Somewhat dissatisfied,20.0,LL5,How satisfied are you with the nation's gun policies?
2014.0,Somewhat satisfied,28.0,LL5,How satisfied are you with the nation's gun policies?
2014.0,Very dissatisfied,35.0,LL5,How satisfied are you with the nation's gun policies?
2014.0,Very satisfied,12.0,LL5,How satisfied are you with the nation's gun policies?
2015.0,No opinion,6.0,LL5,How satisfied are you with the nation's gun policies?
2015.0,Somewhat dissatisfied,23.0,LL5,How satisfied are you with the nation's gun policies?
