X.1,% Yes
1959 Jul,49
1965 Jan,48
1968 Jun,50
1972 May,43
1975 Oct,44
1978 Jan,45
1983 May,40
1985 Apr,44
1989 Feb,47
1990 Sep,47
1991 Mar,48
1991 May,46
1993 Mar,48
1993 Oct,51
1993 Dec,49
1996 Jul,38
1996 Nov,44
1997 Aug,42
1999 Feb,36
1999 Apr,34
2000 Apr,42
2000 Aug,39
2001 Oct,40
2002 Oct,41
2003 Oct ,43
2004 Oct,38
2005 Oct,40
2006 Oct,43
2007 Oct,42
2008 Oct,42
2009 Oct,40
2010 Oct,39
2011 Oct,45
2012 Dec,43
2013 Oct,37
2014 Oct,42
2015 Oct,41
2016 Oct,39
2017 Oct,42
2018 Oct,43
2019 Oct,37
2020 Oct,42
2021 Oct,42
2022 Oct,45
2023 Oct,42
2024 Oct,48
