X.1,% More strict,% Less strict,% Kept as now
1990 Sep,78,2,17
1991 Mar,68,5,25
1993 Mar,70,4,24
1993 Dec,67,7,25
1995 Apr,62,12,24
1999 Feb,60,9,29
1999 Apr,66,7,25
1999 May,65,5,28
1999 Jun,62,6,31
1999 Aug,66,6,27
1999 Dec,60,10,29
2000 Apr,61,7,30
2000 May,62,5,31
2001 Oct,53,8,38
2002 Oct,51,11,36
2003 Oct,55,9,36
2004 Jan,60,6,34
2004 Oct,54,11,34
2005 Oct,57,7,35
2006 Oct,56,9,33
2007 Oct,51,8,39
2008 Oct,49,8,41
2009 Oct,44,12,43
2010 Oct,44,12,42
2011 Oct,43,11,44
2012 Dec,58,6,34
2013 Sep,49,13,37
2013 Oct,49,13,37
2014 Oct,47,14,38
2015 Oct,55,11,33
2016 Oct,55,10,34
2017 Oct,60,5,33
2018 Mar,67,4,28
2018 Oct,61,8,30
2019 Aug,63,7,29
2019 Oct,64,7,28
2020 Oct,57,9,34
2021 Oct,52,11,35
2022 Jun,66,8,25
2022 Oct,57,10,32
2023 Oct,56,12,31
2024 Oct,56,10,33
