"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
3170672,"March 26, 2025",Florida,"Hallandale (Hallandale Beach)","3181 W Hallandale Beach Blvd",4,1,1,0,0,N/A
3144274,"February 21, 2025",Indiana,"Lake Station","6700 block of 9th Ave",4,0,1,0,0,N/A
3136711,"February 10, 2025",Wyoming,Byron,"239 E Shoshone Ave",4,0,1,0,0,N/A
3096566,"December 14, 2024",Utah,"Salt Lake City (West Valley City)","3761 S Oxford Way",4,1,1,0,0,N/A
3094239,"December 14, 2024","New Mexico",Belen,"5 Cam Escondido",4,0,0,0,1,N/A
3089589,"December 7, 2024",Georgia,Atlanta,"200 Vineyard Walk",4,0,1,0,0,N/A
3073211,"November 16, 2024",California,Lancaster,"44502 N Tabler Ave",4,0,0,0,1,N/A
3069059,"November 10, 2024",Kansas,Wichita,"1918 S. Laura St",4,0,1,0,0,N/A
3066278,"November 7, 2024",Minnesota,Duluth,"6009 Tacony St",4,0,1,0,0,N/A
3052758,"October 21, 2024",Washington,"Fall City","7715 Lake Alice Rd SE",5,1,0,0,1,N/A
3030531,"September 21, 2024",Alabama,Birmingham,"2012 Magnolia Ave",4,17,0,0,1,N/A
3014703,"September 4, 2024",Georgia,Winder,"940 Haymon Morris Rd",4,7,0,0,1,N/A
3012631,"September 2, 2024",Illinois,"Forest Park","711 Desplaines Ave",4,0,0,0,1,N/A
3005280,"August 25, 2024","New York",Syosset,"76 Wyoming Ct",4,0,1,0,0,N/A
3005100,"August 24, 2024",Georgia,Dalton,"1800 Pleasant Grove Dr NE",4,0,0,0,2,N/A
2972255,"July 18, 2024",Alabama,"West Blocton","1073 Greentree Dr",5,0,0,0,1,N/A
2967889,"July 13, 2024",Alabama,Birmingham,"3427 27th St N",4,10,0,0,2,N/A
2965394,"July 10, 2024",California,Alameda,"417 Kitty Hawk Rd",5,0,0,0,1,N/A
2960811,"July 6, 2024",Kentucky,Florence,"2673 Ridgecrest Dr",4,3,1,0,0,N/A
2949852,"June 24, 2024",Nevada,"North Las Vegas","370 Casa Norte Dr",5,1,1,0,0,N/A
2945819,"June 21, 2024",Arkansas,Fordyce,"920 W 4th St",4,9,0,1,1,N/A
2943126,"June 12, 2024",Florida,Hudson,"Nottingham Trail",4,0,0,0,1,N/A
2893900,"April 29, 2024","North Carolina",Charlotte,"5525 Galway Dr",4,4,1,0,0,N/A
2887313,"April 22, 2024",Oklahoma,Yukon,"2804 Mirage St",4,0,1,0,0,N/A
2844405,"March 3, 2024",California,"King City","215 N 2nd St",4,7,0,0,3,N/A
2831391,"February 16, 2024",Alabama,Birmingham,"828 Center Street N",4,0,0,0,1,N/A
2826477,"February 11, 2024",California,"Huntington Park","6000 block of Bear Ave",4,1,0,0,4,N/A
2822404,"February 7, 2024",Pennsylvania,"Lansdowne (East Lansdowne)","58 Lewis Ave",4,2,1,0,0,N/A
2809998,"January 23, 2024",California,Adelanto,"Shadow Mountain Rd and Lessing Ave",6,0,0,0,5,N/A
2808531,"January 21, 2024",Illinois,Joliet,"200 block of Davis St",8,1,1,0,1,N/A
2807473,"January 21, 2024",Illinois,"Tinley Park","7430 173rd Pl",4,0,0,0,1,N/A
2800844,"January 13, 2024",Texas,Richmond,"17006 Cory Cornel Ln",4,0,1,0,0,N/A
2822517,"January 6, 2024",California,Reedley,"1151 S Church Ave",4,0,0,0,1,N/A
2771255,"December 5, 2023",Texas,Austin,"7104 Berkman Dr",6,3,0,0,1,N/A
2769819,"December 3, 2023",Texas,Dallas,"9700 block of Royce Dr",4,1,1,0,0,N/A
2770132,"December 3, 2023",Washington,Vancouver,"11511 NE 92nd St",4,0,1,0,0,N/A
2764540,"November 26, 2023",California,"Los Angeles","836 W 110th St",4,0,0,0,1,N/A
2758871,"November 18, 2023",Tennessee,Memphis,"3636 Field Lark Dr",4,1,1,0,0,N/A
2739575,"October 26, 2023","North Carolina",Clinton,"10310 Garland Hwy",5,0,0,0,2,N/A
2738185,"October 25, 2023",Maine,Lewiston,"24 Mollison Way",18,13,1,0,0,N/A
2709153,"September 17, 2023",Illinois,Romeoville,"512 Concord Ave",5,0,1,0,0,N/A
2690239,"August 24, 2023",Ohio,Hartville,"13305 Carnation Ave NW",4,0,1,0,0,N/A
2683213,"August 16, 2023",Oklahoma,"Oklahoma City","7405 NW 5th Terrace",4,0,1,0,0,N/A
