,Second Amendment Supreme Court Cases,Quick Summary ,Brief Synopsis of Case,Year of Decision,Court Justices ,Justice Decision,0 - Advocacy for Gun Rights; 1 - Advocacy for Gun Control
,District of Columbia v. Heller,"Landmark decision in which the Court ruled that the Second Amendment protects an individual's right to possess a firearm unconnected with service in a militia and to use that arm for traditionally lawful purposes, such as self-defense within the home.","Landmark decision in which the Court ruled that the Second Amendment protects an individual's right to possess a firearm unconnected with service in a militia and to use that arm for traditionally lawful purposes, such as self-defense within the home. This case significantly shifted the interpretation of the Second Amendment away from the collective rights approach that had been implied in United States v. Miller (1939) and established a precedent that the right to keep and bear arms is an individual constitutional right. Addressed whether the District of Columbia's firearms regulations—which largely banned the possession of handguns, required all firearms in homes to be nonfunctional through disassembly or a trigger lock, and restricted the carrying of a firearm without a license—violated the Second Amendment rights of individuals. The Supreme Court was tasked with deciding whether the Second Amendment protects an individual's right to keep and bear arms for private use or whether it was intended solely to protect militia-related interests. The Court specifically struck down several provisions of the District of Columbia's firearm regulations, which effectively banned handguns within the District and required that firearms in homes be kept nonfunctional either by disassembling them or locking them via a trigger mechanism. This decision was pivotal in shaping the current understanding of gun rights in the United States, emphasizing the protection of an individual's right to possess and carry firearms in common use for self-defense.",2008,John G. Roberts,Majority Opinion,0
,District of Columbia v. Heller,,,2008,Antonin Scalia,Majority Opinion,0
,District of Columbia v. Heller,,,2008,Anthony Kennedy,Majority Opinion,0
,District of Columbia v. Heller,,,2008,Clarence Thomas,Majority Opinion,0
,District of Columbia v. Heller,,,2008,Samuel Alito,Majority Opinion,0
,District of Columbia v. Heller,,,2008,John Paul Stevens,Dissenting Opinion,1
,District of Columbia v. Heller,,,2008,David Souter,Dissenting Opinion,1
,District of Columbia v. Heller,,,2008,Ruth Bader Ginsburg,Dissenting Opinion,1
,District of Columbia v. Heller,,,2008,Stephen Breyer,Dissenting Opinion,1
,McDonald v. City of Chicago ,"Expanded Heller to states - the right of an individual to ""keep and bear arms"" as protected under the Second Amendment is incorporated by the Due Process Clause of the Fourteenth Amendment and applies to the states.","Considers whether the Second Amendment rights, as declared in Heller, are applicable to the states through the Fourteenth Amendment’s Due Process Clause. The Court’s decision held that the right of an individual to ""keep and bear arms"" as protected under the Second Amendment is incorporated by the Due Process Clause of the Fourteenth Amendment and applies to the states. The central question was whether the Second Amendment rights recognized in Heller, which applied specifically to the District of Columbia, also applied to the states. This ruling significantly expanded the impact of the Heller decision by extending its principles to state and local governments, ensuring that the Second Amendment rights are uniformly applied across the US. This ruling effectively struck down Chicago's handgun ban and opened the door for further challenges to local and state gun control laws under the Second Amendment. The decision highlighted a broader application of the doctrine of incorporation, through which the Supreme Court has made many of the protections of the Bill of Rights applicable to the states, ensuring that federal rights are maintained universally across all states.",2010,John G. Roberts,Majority Opinion,0
,McDonald v. City of Chicago ,,,2010,Antonin Scalia,Majority Opinion,0
,McDonald v. City of Chicago ,,,2010,Anthony Kennedy,Majority Opinion,0
,McDonald v. City of Chicago ,,,2010,Clarence Thomas,Majority Opinion,0
,McDonald v. City of Chicago ,,,2010,Samuel Alito,Majority Opinion,0
,McDonald v. City of Chicago ,,,2010,John Paul Stevens,Dissenting Opinion,1
,McDonald v. City of Chicago ,,,2010,Ruth Bader Ginsburg,Dissenting Opinion,1
,McDonald v. City of Chicago ,,,2010,Stephen Breyer,Dissenting Opinion,1
,McDonald v. City of Chicago ,,,2010,Sonia Sotomayor,Dissenting Opinion,1
,Caetano v. Massachusetts ,"Supreme Court's decision in Caetano v. Massachusetts supported gun rights by reinforcing the broader interpretation of the 2nd Amendment established in Heller. This ruling emphasized that modern and non-lethal weapons, such as stun guns, are also protected under the 2nd Amendment.","In Caetano v. Massachusetts, the Supreme Court issued a per curiam opinion, which means it was delivered by the Court as a whole, rather than authored by a specific justice. The decision vacated the Massachusetts Supreme Judicial Court's ruling that a stun gun was not protected by the Second Amendment, remanding the case for further proceedings consistent with the Supreme Court's interpretation. The decision was unanimous.",2016,John G. Roberts,Per Curiam Opinion,0
,Caetano v. Massachusetts ,,,2016,Anthony Kennedy,Per Curiam Opinion,0
,Caetano v. Massachusetts ,,,2016,Clarence Thomas,Per Curiam Opinion,0
,Caetano v. Massachusetts ,,,2016,Ruth Bader Ginsburg,Per Curiam Opinion,0
,Caetano v. Massachusetts ,,,2016,Stephen Breyer,Per Curiam Opinion,0
,Caetano v. Massachusetts ,,,2016,Samuel Alito,Per Curiam Opinion,0
,Caetano v. Massachusetts ,,,2016,Sonia Sotomayor,Per Curiam Opinion,0
,Caetano v. Massachusetts ,,,2016,Elena Kagan,Per Curiam Opinion,0
,New York State Rifle & Pistol Association Inc. v. Bruen ,Majority opinion emphasizing that the right to bear arms in public for self-defense is protected under the 2nd Amendment.,"In New York State Rifle & Pistol Association Inc. v. Bruen, the Supreme Court ruled that New York's requirement for applicants to show ""proper cause"" to obtain a license to carry a concealed handgun in public violates the Second Amendment. The decision was split 6-3, with the majority opinion emphasizing that the right to bear arms in public for self-defense is protected under the Second Amendment.",2022,John G. Roberts,Majority Opinion,0
,New York State Rifle & Pistol Association Inc. v. Bruen ,,,2022,Clarence Thomas,Majority Opinion,0
,New York State Rifle & Pistol Association Inc. v. Bruen ,,,2022,Samuel Alito,Majority Opinion,0
,New York State Rifle & Pistol Association Inc. v. Bruen ,,,2022,Neil Gorsuch,Majority Opinion,0
,New York State Rifle & Pistol Association Inc. v. Bruen ,,,2022,Brett Kavanaugh,Majority Opinion,0
,New York State Rifle & Pistol Association Inc. v. Bruen ,,,2022,Amy Coney Barrett,Majority Opinion,0
,New York State Rifle & Pistol Association Inc. v. Bruen ,,,2022,Stephen Breyer,Dissenting Opinion,1
,New York State Rifle & Pistol Association Inc. v. Bruen ,,,2022,Sonia Sotomayor,Dissenting Opinion,1
,New York State Rifle & Pistol Association Inc. v. Bruen ,,,2022,Elena Kagan,Dissenting Opinion,1
,Garland v. Cargill,Supreme Court ruled in support of gun rights by limiting the regulatory authority of the ATF and emphasizing a strict interpretation of statutory definitions related to firearms,"Addressed the classification of bump stocks under federal firearms law. The case stemmed from a 2018 rule by the Bureau of Alcohol, Tobacco, Firearms and Explosives (ATF), which redefined bump stocks as ""machine guns"" under the National Firearms Act (NFA). This reclassification effectively banned bump stocks, following guidance issued by President Donald Trump after the 2017 Las Vegas shooting.
Michael Cargill, (gun owner) challenged the ATF’s authority to issue the rule, arguing that the agency exceeded its statutory power. Initially, several appellate courts upheld the ban, and the Supreme Court declined to review those decisions, which had applied Chevron deference—courts deferring to an agency's interpretation of an ambiguous statute it administers.
Fifth Circuit Court of Appeals later ruled that the ATF had overstepped its authority, stating that bump stocks do not qualify as machine guns. This court did not apply Chevron deference, instead invoking the rule of lenity, which resolves ambiguities in criminal law in favor of defendantsThe Supreme Court, in a 6-3 decision on June 14, 2024, affirmed the Fifth Circuit's ruling. Justice Clarence Thomas, writing for the majority, held that bump stocks do not meet the statutory definition of a machine gun since they do not fire automatically by a single function of the trigger. The court emphasized that any significant reclassification should be enacted by Congress, not through administrative action by the ATF.",2024,Clarence Thomas,Majority Opinion,0
,Garland v. Cargill,,,2024,John G. Roberts,Majority Opinion,0
,Garland v. Cargill,,,2024,Samuel Alito,Majority Opinion,0
,Garland v. Cargill,,,2024,Neil Gorsuch,Majority Opinion,0
,Garland v. Cargill,,,2024,Brett Kavanaugh,Majority Opinion,0
,Garland v. Cargill,,,2024,Amy Coney Barrett,Majority Opinion,0
,Garland v. Cargill,,,2024,Sonia Sotomayor,Dissenting Opinion,1
,Garland v. Cargill,,,2024,Elena Kagan,Dissenting Opinion,1
,Garland v. Cargill,,,2024,Ketanji Brown Jackson,Dissenting Opinion,1
,United States v. Rahimi,"Supreme Court in this ruling supports gun control by affirming the government's ability to temporarily disarm individuals who are subject to domestic violence restraining orders, reinforcing the notion that public safety can justify restrictions on gun ownership in certain cases","In a 8-1 opinion, the court reversed and remanded the judgment of the U.S. Court of Appeals for the Fifth Circuit, holding that if a person is found by a court to pose a credible threat to the physical safety of another, they may be temporarily disarmed consistent with the Second Amendment. ",2024,John G. Roberts,Majority Opinion,1
,United States v. Rahimi,,,2024,Samuel Alito,Majority Opinion,1
,United States v. Rahimi,,,2024,Neil Gorsuch,Majority Opinion,1
,United States v. Rahimi,,,2024,Brett Kavanaugh,Majority Opinion,1
,United States v. Rahimi,,,2024,Amy Coney Barrett,Majority Opinion,1
,United States v. Rahimi,,,2024,Sonia Sotomayor,Majority Opinion,1
,United States v. Rahimi,,,2024,Elena Kagan,Majority Opinion,1
,United States v. Rahimi,,,2024,Ketanji Brown Jackson,Majority Opinion,1
,United States v. Rahimi,,,2024,Clarence Thomas,Dissenting Opinion,0
