X.1,Gun in home,Gun elsewhere on property,No gun,No opinion
,%,%,%,%
2024 Oct 1-12,48,1,47,5
2023 Oct 2-23,42,2,54,3
2022 Oct 3-20,45,1,50,4
2021 Oct 1-19,42,2,54,2
2020 Sep 30-Oct 15,42,2,55,2
2019 Oct 1-13,37,3,58,2
2018 Oct 1-10,43,3,53,2
2017 Oct 5-11,42,1,55,2
2016 Oct 5-9,39,1,57,3
2015 Oct 7-11,41,2,55,2
2014 Oct 12-15,42,2,52,4
2013 Oct 3-6,37,2,57,4
2012 Dec 19-22,43,1,53,3
2011 Oct 6-9,45,2,51,1
2010 Oct 7-10,39,2,57,2
2009 Oct 1-4,40,2,55,4
2008 Oct 3-5,42,1,55,1
2007 Oct 4-7,42,2,55,1
2005 Oct 13-16,40,2,57,1
2004 Oct 11-14,38,2,59,1
2003 Oct 6-8,43,2,54,1
2002 Oct 14-17,41,3,55,1
2000 Aug 29-Sep 5,39,2,58,1
1999 Feb 8-9,36,6,56,2
1996 Nov 21-24,44,1,53,2
1996 Jul 25-28,38,2,58,2
1993 Dec 17-21,49,5,45,*
1991 May 16-19,46,4,49,1
