Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations,latitude,longitude
3170672,"March 26, 2025",Florida,Hallandale (Hallandale Beach),3181 W Hallandale Beach Blvd,4,1,1,0,0,,25.98485184885,-80.173431870584
3144274,"February 21, 2025",Indiana,Lake Station,6700 block of 9th Ave,4,0,1,0,0,,,
3136711,"February 10, 2025",Wyoming,Byron,239 E Shoshone Ave,4,0,1,0,0,,44.794550181082,-108.501295149835
3096566,"December 14, 2024",Utah,Salt Lake City (West Valley City),3761 S Oxford Way,4,1,1,0,0,,40.689982409255,-111.973042092158
3094239,"December 14, 2024",New Mexico,Belen,5 Cam Escondido,4,0,0,0,1,,34.571737903939,-106.681880481213
3089589,"December 7, 2024",Georgia,Atlanta,200 Vineyard Walk,4,0,1,0,0,,,
3073211,"November 16, 2024",California,Lancaster,44502 N Tabler Ave,4,0,0,0,1,,34.692192620719,-118.116442407153
3069059,"November 10, 2024",Kansas,Wichita,1918 S. Laura St,4,0,1,0,0,,37.658565693841,-97.323752534565
3066278,"November 7, 2024",Minnesota,Duluth,6009 Tacony St,4,0,1,0,0,,46.745730101441,-92.17347964156
3052758,"October 21, 2024",Washington,Fall City,7715 Lake Alice Rd SE,5,1,0,0,1,,47.53172090221,-121.883430081916
3030531,"September 21, 2024",Alabama,Birmingham,2012 Magnolia Ave,4,17,0,0,1,,33.500848652514,-86.796147629089
3014703,"September 4, 2024",Georgia,Winder,940 Haymon Morris Rd,4,7,0,0,1,,,
3012631,"September 2, 2024",Illinois,Forest Park,711 Desplaines Ave,4,0,0,0,1,,41.874045906196,-87.815332277623
3005280,"August 25, 2024",New York,Syosset,76 Wyoming Ct,4,0,1,0,0,,40.826913448324,-73.492965656053
3005100,"August 24, 2024",Georgia,Dalton,1800 Pleasant Grove Dr NE,4,0,0,0,2,,34.829375654297,-84.939655758088
2972255,"July 18, 2024",Alabama,West Blocton,1073 Greentree Dr,5,0,0,0,1,,33.210519392804,-87.041081767796
2967889,"July 13, 2024",Alabama,Birmingham,3427 27th St N,4,10,0,0,2,,33.556320411273,-86.818180432473
2965394,"July 10, 2024",California,Alameda,417 Kitty Hawk Rd,5,0,0,0,1,,37.759912705019,-122.260114061482
2960811,"July 6, 2024",Kentucky,Florence,2673 Ridgecrest Dr,4,3,1,0,0,,38.9715064205,-84.681402300622
2949852,"June 24, 2024",Nevada,North Las Vegas,370 Casa Norte Dr,5,1,1,0,0,,36.248146285814,-115.145918212574
2945819,"June 21, 2024",Arkansas,Fordyce,920 W 4th St,4,9,0,1,1,,33.812530480438,-92.420873797105
2943126,"June 12, 2024",Florida,Hudson,Nottingham Trail,4,0,0,0,1,,,
2893900,"April 29, 2024",North Carolina,Charlotte,5525 Galway Dr,4,4,1,0,0,,35.24347999517,-80.756045321043
2887313,"April 22, 2024",Oklahoma,Yukon,2804 Mirage St,4,0,1,0,0,,35.436727328833,-97.740852694565
2844405,"March 3, 2024",California,King City,215 N 2nd St,4,7,0,0,3,,36.214610759468,-121.125887773706
